cluster,gene,score,avg_log2FC,p_val,p_val_adj,pct.1,pct.2
8,ZNF366,4.5856633,6.65,4.525469340139292e-06,0.0002954055088705247,0.218,0.003
8,SLC9A3R2,2.9648883,6.545,0.003027927311264329,0.09424608386024326,0.141,0.002
8,MECOM,13.753631,6.541,4.8436306606343805e-43,1.1669130600565926e-39,0.66,0.028
8,ZNF521,12.16056,6.522,5.041232600155337e-34,4.288912655125489e-31,0.583,0.019
8,LDB2,17.819487,6.43,4.989186577935401e-71,6.366950451432263e-67,0.859,0.07
8,PLCB4,13.750912,6.421,5.029206465001182e-43,1.1669130600565926e-39,0.66,0.022
8,RALYL,13.433081,6.343,3.869710691757374e-41,6.172914124107716e-38,0.647,0.03
8,ERG,10.164201,6.342,2.8646271231070006e-24,1.239218272255254e-21,0.487,0.013
8,RASIP1,4.027967,6.315,5.626120466949517e-05,0.002889244923097636,0.192,0.004
8,ENSG00000229308,4.0329266,6.3,5.508649587691489e-05,0.0028403487560939365,0.192,0.003
8,NRG3,8.786677,6.246,1.5404809027114669e-18,4.3206257230664585e-16,0.423,0.015
8,DIPK2B,7.091884,6.21,1.3229813907061081e-12,2.1236763544020122e-10,0.34,0.008
8,BMP6,7.3463883,6.198,2.0363384975303907e-13,3.488152179360279e-11,0.353,0.009
8,HLX,4.413043,6.123,1.0192764401234167e-05,0.000623860733363788,0.212,0.005
8,ROBO4,3.6234534,6.113,0.0002906957226901372,0.012223108616508027,0.173,0.003
8,RAPGEF5,10.3756695,6.111,3.1996123122625127e-25,1.5704558662668482e-22,0.5,0.016
8,ST6GALNAC3,4.804732,6.042,1.5495903786224242e-06,0.0001126786188990887,0.231,0.006
8,IDO2,9.537605,6.032,1.4616852597957054e-21,4.845012063086466e-19,0.462,0.021
8,PTPRB,10.237339,6.009,1.348958377902267e-24,6.148118692714208e-22,0.494,0.018
8,PECAM1,16.730705,5.988,7.830638990341324e-63,6.66204663168272e-59,0.814,0.067
8,RHOJ,4.020288,5.958,5.8127033461561275e-05,0.002967152550078857,0.192,0.004
8,DACH1,11.891923,5.933,1.3036938412393263e-32,8.993021056743601e-30,0.577,0.027
8,PALMD,6.1341267,5.894,8.562817048461499e-10,1.0357762062932837e-07,0.295,0.008
8,LRRC36,5.3187532,5.797,1.0448073683922979e-07,9.55792776468696e-06,0.256,0.008
8,HSD17B2,13.992777,5.794,1.7254087778044221e-44,4.893067581766919e-41,0.686,0.052
8,MYZAP,6.3768725,5.784,1.8074080630879829e-10,2.3535957139895197e-08,0.308,0.01
8,JAM2,7.695202,5.767,1.412707026775783e-14,2.8169157378436177e-12,0.372,0.012
8,ZEB1,10.830018,5.749,2.481070873028155e-27,1.4726598114487813e-24,0.526,0.023
8,TIE1,4.1241693,5.739,3.72074831619413e-05,0.0020119631202165844,0.199,0.006
8,ENSG00000273112,5.3165402,5.723,1.057589041887843e-07,9.640301827179792e-06,0.256,0.008
8,RASGRF2,8.994787,5.679,2.366903547421842e-19,6.943733246074446e-17,0.436,0.015
8,STXBP6,13.231637,5.649,5.761848932260098e-40,8.650568841063204e-37,0.647,0.037
8,KANK3,6.0968513,5.639,1.0817818774482242e-09,1.2962591013197664e-07,0.295,0.01
8,MMRN1,4.90968,5.595,9.122518591244658e-07,7.120307094933866e-05,0.237,0.007
8,CGNL1,9.854849,5.519,6.531476352817917e-23,2.488102551536891e-20,0.481,0.023
8,CD34,7.0098405,5.514,2.3859032149251716e-12,3.735914586167801e-10,0.34,0.012
8,ENSG00000226197,5.1373606,5.472,2.7862404008420707e-07,2.3547421771752377e-05,0.25,0.01
8,MAGI1,18.497757,5.47,2.152498988909624e-76,5.493823169394033e-72,0.91,0.191
8,ADGRF5,4.5042863,5.44,6.6596427131133525e-06,0.00042493515241698017,0.218,0.007
8,BICD1,14.022,5.417,1.1434567129166935e-44,3.648055710471596e-41,0.692,0.067
8,CACHD1,7.50981,5.409,5.921327807142514e-14,1.0795003544407027e-11,0.365,0.015
8,KDR,5.4156756,5.357,6.105775214591981e-08,5.836618007566709e-06,0.263,0.009
8,FCGR2B,4.744792,5.349,2.08720666148466e-06,0.0001479771545029805,0.231,0.009
9,PTPRC,5.7282305,5.928,1.0148366525324816e-08,2.877963986954059e-05,0.588,0.027
9,PRKCB,4.5272336,5.286,5.976086582000005e-06,0.003572816300997942,0.471,0.026
9,AOAH,5.5822053,5.235,2.3748795460564957e-08,4.844593141253575e-05,0.588,0.045
9,APBB1IP,4.4290743,4.719,9.463837573562032e-06,0.004736186791961249,0.471,0.036
9,ARHGAP15,3.8674388,4.693,0.00010998437014407303,0.03341822713318067,0.412,0.034
9,CD74,4.0885935,4.635,4.339966806449617e-05,0.014769196373468477,0.441,0.043
9,DOCK2,4.936522,4.555,7.952809544567878e-07,0.0007249269928785927,0.529,0.044
